Name: Akstiletto Prime
	Crit Chance = 0.431
	Crit Multiplier = 4.2
	Fire Rate = 11.33
	Pellets = 2.8
	Status = 0.66
	Reload = 1.1
	Magazine Size = 40
	impact = 69.0
	slash = 34.5
	puncture = 11.500000000000002
	cold = 0.0
	electric = 0.0
	heat = 0.0
	toxin = 0.0
	blast = 0.0
	corrosive = 241.50000000000003
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 115.0
	slChance = 0.032459016
	corrosiveChance = 0.227213115
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.000000000
	gasChance =  0.000000000
	HeatDOT = 57.5
	slDOT = 40.25
	poisonDOT = 57.5
	gasDOT = 28.75
Name: Prisma Twin Gremlins
	Crit Chance = 0.66
	Crit Multiplier = 4
	Fire Rate = 14.13
	Pellets = 2.8
	Status = 0.506
	Reload = 0.9
	Magazine Size = 70
	impact = 9.464285714285715
	slash = 36.107142857142854
	puncture = 40.42857142857143
	cold = 0.0
	electric = 0.0
	heat = 0.0
	toxin = 0.0
	blast = 0.0
	corrosive = 180.60714285714286
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 86.0
	slChance = 0.045425829
	corrosiveChance = 0.227219007
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.000000000
	gasChance =  0.000000000
	HeatDOT = 43.0
	slDOT = 30.099999999999998
	poisonDOT = 43.0
	gasDOT = 21.5
Name: Rubico P Cor
	Crit Chance = 1.49
	Crit Multiplier = 6.6
	Fire Rate = 3.67
	Pellets = 3.417
	Status = 0.16
	Reload = 2
	Magazine Size = 5
	impact = 395.9613696224759
	slash = 7.228563067017852
	puncture = 21.744220076090137
	cold = 0.0
	electric = 0.0
	heat = 0.0
	toxin = 0.0
	blast = 0.0
	corrosive = 891.1325724319579
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 424.93415276558386
	slChance = 0.000446402
	corrosiveChance = 0.055032192
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.000000000
	gasChance =  0.000000000
	HeatDOT = 212.46707638279193
	slDOT = 148.72695346795433
	poisonDOT = 212.46707638279193
	gasDOT = 106.23353819139597
Name: Rubico P Cor Hunter
	Crit Chance = 1.49
	Crit Multiplier = 6.6
	Fire Rate = 3.67
	Pellets = 2.817
	Status = 0.16
	Reload = 2
	Magazine Size = 5
	impact = 480.29818956336527
	slash = 8.768193113241036
	puncture = 26.375576854810078
	cold = 0.0
	electric = 0.0
	heat = 0.0
	toxin = 0.0
	blast = 0.0
	corrosive = 1080.937167199148
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 515.4419595314164
	slChance = 0.000446402
	corrosiveChance = 0.055032192
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.000000000
	gasChance =  0.000000000
	HeatDOT = 257.7209797657082
	slDOT = 180.40468583599574
	poisonDOT = 257.7209797657082
	gasDOT = 128.8604898828541
Name: Kohm
	Crit Chance = 0.11
	Crit Multiplier = 2.3
	Fire Rate = 6.77
	Pellets = 52.584
	Status = 0.01507065742169944
	Reload = 2
	Magazine Size = 62
	impact = 28.937889852426594
	slash = 0.0
	puncture = 28.937889852426594
	cold = 0.0
	electric = 0.0
	heat = 0.0
	toxin = 0.0
	blast = 0.0
	corrosive = 460.29
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 7608.34
	slChance = 0.000000000
	corrosiveChance = 0.01002
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.000000000
	gasChance =  0.000000000
	HeatDOT = 3804.17
	slDOT = 2662.919
	poisonDOT = 3804.17
	gasDOT = 1902.085
Name: Kohm 100%SC NONeg
	Crit Chance = 0.11
	Crit Multiplier = 2.3
	Fire Rate = 6.77
	Pellets = 45.384
	Status = 1.0
	Reload = 2
	Magazine Size = 62
	impact = 28.937951701040014
	slash = 86.81385510312005
	puncture = 28.937951701040014
	cold = 0.0
	electric = 0.0
	heat = 86.81385510312005
	toxin = 0.0
	blast = 0.0
	corrosive = 303.8489335448616
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 144.67
	slChance = 0.089552198
	corrosiveChance = 0.313433148
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.089552198
	gasChance =  0.000000000
	HeatDOT = 50
	slDOT = 50.63
	poisonDOT = 50
	gasDOT = 50
Name: Kohm 100%SC mSL
	Crit Chance = 0.11
	Crit Multiplier = 2.3
	Fire Rate = 6.77
	Pellets = 45.384
	Status = 1.0
	Reload = 2
	Magazine Size = 62
	impact = 28.937951701040014
	slash = 0.0
	puncture = 28.937951701040014
	cold = 0.0
	electric = 0.0
	heat = 86.81385510312005
	toxin = 0.0
	blast = 0.0
	corrosive = 303.8489335448616
	gas = 0.0
	magnetic = 0.0
	radiation = 0.0
	viral = 0.0
	voidA = 0.0
	voidB = 0.0
	base = 6566.599999999999
	slChance = 0.000000000
	corrosiveChance = 0.488372455
	viralChance = 0.000000000
	toxinChance = 0.000000000
	heatChance =  0.139534785
	gasChance =  0.000000000
